ALL OUT SLIDER,MOSQUITO,ALL OUT,GST 18%,67.05,76.75,89,85,80,NOS,1,SRI RAM AGENCY,38089191,0
AMMA 25KG,HALF BOILED,GENERAL,GST 0%,35,35,1500,900,880,KGS,25,EASHWAR ENTERPRISES,1006,0
ANNACHI POO,SPICES,GENERAL,GST 18%,850,1003,0,1200,1150,KGS,1,CASH BILL,1207,0
APPLE GREEN BUSH,GENERAL,GENERAL,GST 18%,40,45,55,55,50,NOS,1,MANI BAJI SHOP,2106,0
APPLE GREEN COLOR 20NO,GENERAL,GENERAL,GST 18%,1.4,1.65,40,35,40,NOS,20,MANI BAJI SHOP,2106,0
ARASAN,WASHING,GENERAL,GST 0%,13.833,13.833,16,15,14,NOS,60,MANI BAJI SHOP,,0
ARIEL COMP 700G,WASHING,P&G,GST 18%,82.39,97.22,105,105,100,PKT,34,BHAWAR SALES CORPORATION,34022010,0
ARIEL LIQUID TL 1LTR PM,WASHING,P&G,GST 18%,133.4,157.41,170,165,160,NOS,12,BHAWAR SALES CORPORATION,34022010,0
ARIEL MATIC TL 1KG,WASHING,P&G,GST 18%,176.55,208.33,225,220,210,NOS,18,BHAWAR SALES CORPORATION,34022010,0
ARIEL PWD 90GM 12SHEET,WASHING,P&G,GST 18%,7.2058,8.04,120,115,108,PKT,60,BHAWAR SALES CORPORATION,34022010,0
ARIEL PWD BLUE 500GM E,WASHING,P&G,GST 18%,56.5,66.67,72,70,68,NOS,48,BHAWAR SALES CORPORATION,34022010,0
ASAFOETIDA,SPICES,GENERAL,GST 0%,140,140,200,180,160,BOX,20,CASH BILL,1304,0
AVALAKKI 30KG,DALL,GENERAL,GST 0%,40,40,3100,1250,1200,KGS,40,MANI BAJI SHOP,1006,0
AVT GOLD CUP 10/-,BEVERAGES,AVT,GST 5%,8.2,8.61,10,100,90,SHEETS,25,KNK AGENCIES,9023010,0
AVT GOLD CUP 5/-,BEVERAGES,AVT,GST 5%,4.1,4.31,5,50,45,SHEETS,25,KNK AGENCIES,9023010,0
AVT GOLD CUP 500GM,BEVERAGES,AVT,GST 5%,216.06,226.86,1024,960,940,BUNDAL,12,KNK AGENCIES,9023030,0
AVT PREM 1KG,BEVERAGES,AVT,GST 5%,275.48,289.25,325,300,295,PKT,24,KNK AGENCIES,9023020,0
BABY CASHEW 1KG,DRY FRUITS,GENERAL,GST 0%,200,200,450,400,350,KGS,1,,,0
BADAM,DRY FRUITS,GENERAL,GST 12%,450.8928,505,1200,1000,800,KGS,1,SHAMBHAVI SYNDICATE,802,0
BADAM DRINK 450GMS,BEVERAGES,MTR,GST 18%,179.77,212.13,245,230,220,PKT,24,VENKATESHWARA AGENCIES,21069099,0
BADAM DRINK MIX 10GMS,BEVERAGES,MTR,GST 18%,3.67,4.33,5,50,46,SHEETS,10,VENKATESHWARA AGENCIES,21609099,0
BADAM MIX DRINK 200GMS,BEVERAGES,MTR,GST 18%,88.9,104.9,120,3450,3300,BOX,15,VENKATESHWARA AGENCIES,21069099,0
BAFFUN CAP,GENERAL,GENERAL,GST 0%,40,40,0,60,50,NOS,1,MANI BAJI SHOP,,0
BAKESMITH PARLE MARIE 10/-,BISCUITS,PARLE,GST 18%,7.57,8.93,10,10,9.2,NOS,1,R.K MARKETING,19059020,0
BAKING POWDER 1KG,SNACKS,GENERAL,GST 18%,45,53.1,0,75,70,KGS,1,MANI BAJI SHOP,,0
BALANCE,GENERAL,GENERAL,GST 0%,0,0,0,0,0,NOS,1,,,0
BALLAR 50KG,DALL,GENERAL,GST 0%,2500,2500,4000,3000,2750,BAG,50,CASH BILL,713,0
BALLAR DALL 25KG,DALL,GENERAL,GST 0%,65,65,1900,1950,1750,KGS,25,MANI BAJI SHOP,713,0
BASMATHI GOLD 25KG,BASMATHI,GENERAL,GST 0%,1454.91,1454.91,3500,2000,1900,BAG,25,HIRA TADERS,1006,0
BASMATHI PLT 25KG,BASMATHI,GENERAL,GST 0%,1654.21,1654.21,4500,2100,2000,BAG,25,HIRA TADERS,1006,0
BASMATHI TIBAR 25KG,BASMATHI,GENERAL,GST 0%,80,80,2750,2100,2050,KGS,25,KIRORIMAL KASHIRAM SONS,1006,0
BEARLY RICE 25KG,RAW RICE,GENERAL,GST 0%,60,60,0,1625,1600,KGS,25,MANI BAJI SHOP,1006,0
BETEL NUTS,SPICES,GENERAL,GST 0%,0,0,0,90,75,KGS,1,MANI BAJI SHOP,1404,0
BINGO ORIGINAL CHILLI 10/-,CHIPS,ITC,GST 12%,8.16,8.77,10,110,105,SHEETS,11,SHREE SHANER AGANICES,2005,0
BINGO ORIGINAL SALT 10/-,CHIPS,ITC,GST 12%,8.16,8.87,10,110,105,SHEETS,11,SHREE SHANER AGANICES,2005,0
BISBELEBATH POWDER 10/-,MASALA,MTR,GST 5%,8.25,8.66,10,120,102,SHEETS,12,VENKATESHWARA AGENCIES,9109100,0
BL BANSI SOOJI 500GM,FLOUR,GENERAL,GST 0%,19,19,35,880,840,PKT,40,BHAGYALAKSHMI,1106,0
BL CHAKKI ATTA 10KG,FLOUR,GENERAL,GST 0%,300,300,450,1080,1020,PKT,3,BHAGYALAKSHMI,1106,0
BL CHAKKI ATTA 1KG,FLOUR,GENERAL,GST 0%,31,31,48,640,630,PKT,20,BHAGYALAKSHMI,1106,0
BL CHAKKI ATTA 500GM,FLOUR,GENERAL,GST 0%,15.5,15.5,0,800,750,BAG,40,MANI BAJI SHOP,1106,0
BL CHAKKI ATTA 5KG,FLOUR,GENERAL,GST 0%,930,930,0,1000,980,BAG,6,MANI BAJI SHOP,1106,0
BL CHIROTI SOOJI 500GM,FLOUR,GENERAL,GST 0%,21,21,0,880,860,BAG,40,BHAGYALAKSHMI,1106,0
