BL RICE FLOUR 1KG,FLOUR,GST 0%,GST 0%,680,680,0,720,700,BAG,1106
BL ROASTED SOOJI 500GM,DALL,GST 0%,GST 0%,21,21,28,940,920,PKT,0713
BL SOOJI 500GM,FLOUR,GST 0%,GST 0%,21,21,25,880,22,PKT,
BL THICK RICE FLAKS 500GM,DALL,GST 0%,GST 0%,900,900,0,950,930,BAG,1106
BL THIN RICE FLAKS 500GM,DALL,GST 0%,GST 0%,1080,1080,0,1200,150,BAG,1106
BLACK JEERA,SPICES,GST 18%,GST 18%,280,310,10,340,320,KGS,
BLACK JEERA 10 NO,10 SHEET,GST 18%,GST 18%,5.5,6.49,10,9,8,PKT,09083190
BOUNCE CHOCO 34G,BISCUITS,GST 18%,GST 18%,3.89,4.45,5,60,57,BUNDLE,1905
BOUNCE ELAICHI 34G,BISCUITS,GST 18%,GST 18%,3.88,4.44,5,60,57,BUNDLE,1905
BOUNCE ORANGE 34G,BISCUITS,GST 18%,GST 18%,3.88,4.44,5,60,57,BUNDLE,1905
BOUNCE PINEAPPLE 34G,BISCUITS,GST 18%,GST 18%,3.88,4.44,5,60,57,BUNDLE,1905
BROKANE KALKI 25KG,HALF BOILED,GST 0%,GST 0%,20,20,0,550,500,KGS,1006
BRU GREEN LABEL 100G,BEVERAGES,GST 5%,GST 5%,21.45,22.52,25,100,94,SHEETS,09019020
BRU GREEN LABEL 200G,BEVERAGES,GST 5%,GST 5%,51.48,54.05,60,58,55,NOS,09019020
BRU GREEN LABEL 500G,BEVERAGES,GST 5%,GST 5%,132.99,139.64,155,150,145,NOS,09019020
BRU INS 11G,BEVERAGES,GST 18%,GST 18%,7.43,8.77,10,120,108,SHEETS,21011120
BRU INS 5.5G,BEVERAGES,GST 18%,GST 18%,3.72,4.39,5,75,69,SHEETS,21011120
BRU INSTANT SUPER STRONG 200G,BEVERAGES,GST 18%,GST 18%,123.49,145.72,153,153,150,SHEETS,2101112
BRU TRIPTI SUPER STRONG 200G,BEVERAGES,GST 18%,GST 18%,121.87,143.81,151,150,145,SHEETS,2101112
BULLET JEERA 25KG,HALF BOILED,GST 0%,GST 0%,34,34,1200,950,930,KGS,1006
BULLET JEERA NEW 25KG,HALF BOILED,GST 0%,GST 0%,36,36,1800,980,960,BAG,1006
CARDAMOM,SPICES,GST 18%,GST 18%,4800,4850,0,4900,5100,KGS,09083190
CARDAMOM 5/-,AMAR,GST 0%,GST 0%,190,190,0,240,230,BUNDAL,0910
CASHEW 2PC 1KG,DRY FRUITS,VAT 0 %,VAT 0 %,490,490,700,650,600,PKT,0802
CASHEW 5/-,AMAR,GST 0%,GST 0%,190,190,0,240,230,BUNDAL,0801
CASHEW FULL 1KG,DRY FRUITS,GST 18%,GST 18%,490,578.2,0,700,650,PKT,0802
CHANNA 30KG,DALL,GST 0%,GST 0%,1943.2,1943.2,2900,2050,2020,BAG,0713
CHILLI BIG,SPICES,GST 0%,GST 0%,1700,1700,0,2100,2050,BAG,0904
CHILLI BIG 10KG,SPICES,GST 0%,GST 0%,1700,1700,0,2100,2050,BAG,0904
CHILLI ROUND 20KG,SPICES,GST 0%,GST 0%,170,170,250,2500,2350,KGS,0904
CHILLI SMALLS 10KG,SPICES,GST 0%,GST 0%,1600,1600,0,2200,2000,BAG,0904
CHILLI STEEMLESS 10KG,SPICES,GST 0%,GST 0%,2200,2200,0,2500,2300,BAG,0904
CLASSIC BASMATHI 25KG,RAW RICE,GST 5%,GST 5%,3380.95,3550,210,4200,3200,BAG,1006
CLOSEUP 20,PASTE,GST 18%,GST 18%,15.17,17.9,20,220,209,SHEETS,
CLOVE,SPICES,GST 0%,GST 0%,550,550,0,750,700,KGS,1207
COLOR APPLE GREEN,SPICES,GST 0%,GST 0%,30,30,40,35,30,BOX,32030020
COLOR APPLE GREEN BUSH,SPICES,GST 0%,GST 0%,45,45,0,55,50,BOX,32030020
COLOR KESARI,SPICES,GST 0%,GST 0%,30,30,40,35,30,BOX,32030020
COLOR KESARI BUSH,SPICES,GST 0%,GST 0%,40,40,55,55,50,BOX,32030020
COLOR LEMON YELLOW,SPICES,GST 0%,GST 0%,30,30,40,35,30,BOX,32030020
COLOR LEMON YELLOW BUSH,SPICES,GST 0%,GST 0%,45,45,55,55,50,BOX,32030020
COLOR ORANGE RED,SPICES,GST 0%,GST 0%,30,30,0,35,30,BOX,3203002
COLOR ORANGE RED BUSH,SPICES,GST 0%,GST 0%,50,50,55,55,50,BOX,32030020
CREYSTAL SALT OFRESH 25KG,SALT,GST 0%,GST 0%,160,160,250,250,190,BAG,25010010
DANIYA 40KG,MASALA,GST 0%,GST 0%,2950,2950,3500,3200,3150,BAG,0909
DANIYA VIP 40KG,MASALA,GST 0%,GST 0%,3125,3125,4500,3300,3250,BAG,0909
DARK FANTASY CHOCO FILLS 20G,BISCUITS,GST 18%,GST 18%,7.52,8.52,10,100,90,SHEETS,1905
DO MUNGAI 200ML,DEEPAM OIL,GST 5%,GST 5%,1000,1050,0,1100,1080,BOX,1518
DO MUNGAI 400ML,DEEPAM OIL,GST 5%,GST 5%,800,840,0,950,900,BOX,1518
DO MUNGAI 800ML,DEEPAM OIL,GST 5%,GST 5%,800,840,0,950,900,BOX,1518
DO SUN 1LTR,DEEPAM OIL,GST 5%,GST 5%,760,798,0,850,830,BOX,1518
DO SUN 200ML,DEEPAM OIL,GST 5%,GST 5%,960,1008,0,1050,1030,BOX,1518
DO SUN 500ML,DEEPAM OIL,GST 5%,GST 5%,760,798,0,850,820,BOX,1518
DOUBLE PURA 25KG,FULL BOILED,GST 0%,GST 0%,890,890,0,950,900,BAG,1006
DOUBLE ROSE 25KG,FULL BOILED,GST 0%,GST 0%,890,890,0,950,920,BAG,1006
DOVE CREAM BAR 100G,SOAP,GST 18%,GST 18%,35.31,40,45,45,42,NOS,34011190
DOVE CREAM BAR 50G,SOAP,GST 18%,GST 18%,17.26,19.55,22,22,20,NOS,34011190
DRY GRAPES 1KG,DRY FRUITS,GST 18%,GST 18%,280,330.4,0,350,340,PKT,0802
DSM 10KG,FULL BOILED,GST 0%,GST 0%,510,510,0,550,530,BAG,1006
DSM 25KG,FULL BOILED,GST 0%,GST 0%,1270,1270,0,1300,1280,BAG,1006
DUBAR RICE 1KG,RAW RICE,GST 0%,GST 0%,1640,1640,0,1800,1760,BAG,1006
FG GLOBE 30G,DALL,GST 0%,GST 0%,2280,2280,3500,2550,2500,BAG,0713
FG ROCKET 30KG,DALL,GST 0%,GST 0%,2130,2130,3600,2500,2300,BAG,0713
FG THRISHUL 30KG,DALL,GST 0%,GST 0%,2400,2400,0,2600,2550,BAG,0713
FRIED GRAM ||,DALL,GST 0%,GST 0%,80,80,90,85,80,KGS,000
FRIED RICE HOT & SPICY 20GMS,MIXED RICE,GST 12%,GST 12%,6.7,7.5,10,100,90,SHEETS,21039040
FRIED RICE ORIGINAL,MIXED RICE,GST 12%,GST 12%,6.7,7.5,10,100,90,SHEETS,21039040
FULL BOILED RICE,FULL BOILED,GST 0%,GST 0%,52,52,0,55,53,KGS,1006
FULL TOSS MASALA MASTI 5/-,CHIPS,GST 12%,GST 12%,3.57,4,5,75,68,SHEETS,21069099
FULL TOSS NOODLE 5/-,CHIPS,GST 12%,GST 12%,3.57,4,5,75,68,SHEETS,21069099
FULL TOSS THAI SRURACHA 5/-,CHIPS,GST 12%,GST 12%,3.57,4,5,75,68,SHEETS,21069099
FULL TOSS TOMATO 5/-,CHIPS,GST 12%,GST 12%,3.57,4,5,75,68,SHEETS,21069099
GD LIBARTY 50KG,DALL,GST 0%,GST 0%,66.77,67,5000,4500,4000,KGS,0713
GINGER GARLLIC PASTE RUCHI,PASTE,GST 0%,GST 0%,60,60,0,75,70,SHEETS,2106
GOLD PONNI 10KG,FULL BOILED,GST 0%,GST 0%,510,510,0,550,530,BAG,1006
GOLD PONNI 25KG,FULL BOILED,GST 0%,GST 0%,1250,1250,0,1300,1270,BAG,1006
GOLD WINNER 1LTR,REFINED OIL,GST 5%,GST 5%,115.667,121.45,132,1250,1230,PKT,1512
GOLD WINNER 500ML,REFINED OIL,GST 5%,GST 5%,55.75,58.5375,68,1280,1270,PKT,1512
GOLD WINNER 5LTS,REFINED OIL,GST 5%,GST 5%,570,598.5,615,1830,1800,NOS,
GRAM 50KG,DALL,GST 0%,GST 0%,2900,2900,3900,3300,3500,BAG,0713
GRAM DOLPHIN 30KG,DALL,GST 0%,GST 0%,2030,2030,3500,2500,2250,BAG,0713
GRAPES 5/-,AMAR,GST 0%,GST 0%,190,190,0,240,230,BUNDAL,0806
GRB GHEE 100ML,GHEE,GST 12%,GST 12%,650,728,0,740,730,BOX,0405
GREEN PEAS 30KG,DALL,GST 0%,GST 0%,3690,3690,4950,4800,4200,KGS,0713
GROUND NUTS A 40KG,DALL,GST 0%,GST 0%,90,90,0,3800,3700,KGS,1202
GROUND NUTS B 40KG,DALL,GST 0%,GST 0%,83,83,0,3500,3450,KGS,1202
GTS 25KG,RAW RICE,GST 5%,GST 5%,1395.24,1465,2800,1600,1580,BAG,1006
GTS OLD,RAW RICE,GST 5%,GST 5%,1323.81,1390,0,1500,1450,BAG,10063020
GW GINGERLLY 1LTR,GINGERLLY OIL,GST 5%,GST 5%,230.476,242,275,2600,2550,PKT,15155091
GW GINGERLLY 200ML,GINGERLLY OIL,GST 5%,GST 5%,47.05,49.4,65,60,55,PKT,15155091
GW GINGERLLY 500ML,GINGERLLY OIL,GST 5%,GST 5%,116.19,122,170,2800,2600,PKT,15155091
HAMAM SOAP 100G,SOAP,GST 18%,GST 18%,25.11,29.04,32,32,31,NOS,34011190
HAMAM SOAP 150G,SOAP,GST 18%,GST 18%,39.23,45.37,50,50,46,NOS,34011190
HAMAM SOAP 45G,SOAP,GST 18%,GST 18%,7.85,8.89,10,10,9,NOS,34011190
